Title of Histogram: , HiggsMass
Number of trials: , 2022.0
Binlow , 100.0
Binhigh , 700.0
Binint , 2.0
nbins , 300
Underflows , 2018
Overflows , 4
Bin number , Centre , N , Error , %Error
153 , 407.0 , 0,0.0,0.0
154 , 409.0 , 0,0.0,0.0
155 , 411.0 , 0,0.0,0.0
156 , 413.0 , 0,0.0,0.0
157 , 415.0 , 0,0.0,0.0
158 , 417.0 , 0,0.0,0.0
159 , 419.0 , 0,0.0,0.0
160 , 421.0 , 0,0.0,0.0
161 , 423.0 , 0,0.0,0.0
162 , 425.0 , 0,0.0,0.0
163 , 427.0 , 0,0.0,0.0
164 , 429.0 , 0,0.0,0.0
165 , 431.0 , 0,0.0,0.0
166 , 433.0 , 0,0.0,0.0
167 , 435.0 , 0,0.0,0.0
168 , 437.0 , 0,0.0,0.0
169 , 439.0 , 0,0.0,0.0
170 , 441.0 , 0,0.0,0.0
171 , 443.0 , 0,0.0,0.0
172 , 445.0 , 0,0.0,0.0
173 , 447.0 , 0,0.0,0.0
174 , 449.0 , 0,0.0,0.0
175 , 451.0 , 0,0.0,0.0
176 , 453.0 , 0,0.0,0.0
177 , 455.0 , 0,0.0,0.0
178 , 457.0 , 0,0.0,0.0
179 , 459.0 , 0,0.0,0.0
180 , 461.0 , 0,0.0,0.0
181 , 463.0 , 0,0.0,0.0
182 , 465.0 , 0,0.0,0.0
183 , 467.0 , 0,0.0,0.0
184 , 469.0 , 0,0.0,0.0
185 , 471.0 , 0,0.0,0.0
186 , 473.0 , 0,0.0,0.0
187 , 475.0 , 0,0.0,0.0
188 , 477.0 , 0,0.0,0.0
189 , 479.0 , 0,0.0,0.0
190 , 481.0 , 0,0.0,0.0
191 , 483.0 , 0,0.0,0.0
192 , 485.0 , 0,0.0,0.0
193 , 487.0 , 0,0.0,0.0
194 , 489.0 , 0,0.0,0.0
195 , 491.0 , 0,0.0,0.0
196 , 493.0 , 0,0.0,0.0
197 , 495.0 , 0,0.0,0.0
198 , 497.0 , 0,0.0,0.0
199 , 499.0 , 0,0.0,0.0
200 , 501.0 , 0,0.0,0.0
201 , 503.0 , 0,0.0,0.0
202 , 505.0 , 0,0.0,0.0
203 , 507.0 , 0,0.0,0.0
204 , 509.0 , 0,0.0,0.0
205 , 511.0 , 0,0.0,0.0
206 , 513.0 , 0,0.0,0.0
207 , 515.0 , 0,0.0,0.0
208 , 517.0 , 0,0.0,0.0
